$Stillwater (sb) inflow constituents,
Auto-Generated,
JDAY,TDS
1,58.03
5,58.03
12,61.85
20,63.56
26,72.71
33,69.64
41,67.14
48,63.64
54,69.02
62,58.42
68,49.32
75,69.6
82,76.2
89,67.8
96,66
103,67.2
104,0
111,90
117,67.8
124,89.4
131,72
138,73.2
146,103.2
152,87.6
159,137.4
166,64.2
173,57.6
180,72.6
187,59.4
194,62.4
201,85.2
204,0
208,43.8
215,53.4
222,74.4
229,101.4
236,77.4
243,63
251,111
257,92.4
264,144.6
267,0
271,102.6
279,125.4
286,115.2
292,112.8
300,78.6
306,109.8
313,87
320,55.2
334,67.8
341,61.8
356,60.22
365,60.22
369,58.43
376,65.79
384,63.72
391,41.4
397,60.95
404,65.62
413,65.53
418,67.77
425,49.5
432,51.52
440,28.57
446,60.92
453,71.7
461,66.12
467,69.18
475,70.62
481,86.34
490,85.02
495,75.18
502,93.96
510,95.16
518,101.1
523,99.84
530,84.66
537,107.4
544,119.88
552,198.6
558,204.54
565,102.48
573,119.46
579,147.3
588,211.62
593,223.5
600,190.02
608,145.08
615,179.58
621,140.76
628,168.42
635,172.62
642,127.44
650,137.1
656,105.18
663,121.56
670,115.74
677,95.94
684,87
691,82.98
698,78
705,54.46
712,38.58
719,54.97
730,54.97
731,56.827
732,53.142
733,50.67
734,53.349
735,58.676
736,62.014
737,63.546
738,64.653
739,65.791
740,66.961
741,68.496
742,68.904
743,65.781
744,70.338
745,72.441
746,73.446
747,76.351
748,76.704
749,72.22
750,73.378
751,72.393
752,71.44
753,71.118
754,69.639
755,66.458
756,64.989
757,61.894
758,61.995
759,63.814
760,65.414
761,66.65
762,66.776
763,62.576
764,61.216
765,66.011
766,70.511
767,71.309
768,75.674
769,79.73
770,84.554
771,81.945
772,79.406
773,75.128
774,72.154
775,67.912
776,63.73
777,65.248
778,64.291
779,60.689
780,58.384
781,61.745
782,63.876
783,64.2
784,64.998
785,66.392
786,60.272
787,58.355
788,62.361
789,60.38
790,59.11
791,60.768
792,62.17
793,63.605
794,63.587
795,52.988
796,27.817
797,34.757
798,42.456
799,47.66
800,42.373
801,41.24
802,46.436
803,49.874
804,52.873
805,52.359
806,48.012
807,46.809
808,45.42
809,48.591
810,50.631
811,51.519
812,52.385
813,55.936
814,59.597
815,62.891
816,66.272
817,69.28
818,72.163
819,74.88
820,74.521
821,71.255
822,69.474
823,67.748
824,66.168
825,60.982
826,61.74
827,66.713
828,71.099
829,76.66
830,80.443
831,83.036
832,85.659
833,82.5
834,74.998
835,75.428
836,76.29
837,50.83
838,51.311
839,55.662
840,56.1
841,58.673
842,62.602
843,61.433
844,57.726
845,60.312
846,62.392
847,63.217
848,65.712
849,68.458
850,72.501
851,76.732
852,79.522
853,82.2
854,84.06
855,84.339
856,86.292
857,87.454
858,87.182
859,86.705
860,87.481
861,88.08
862,86.759
863,84.782
864,82.852
865,74.973
866,64.316
867,60.506
868,58.56
869,58.698
870,59.783
871,63.03
872,65.819
873,66.149
874,64.507
875,65.88
876,72.058
877,78.824
878,85.744
879,91.587
880,96.741
881,102.022
882,104.58
883,98.284
884,102.559
885,107.016
886,109.495
887,111.393
888,112.523
889,114.12
890,106.749
891,94.736
892,93.303
893,87.388
894,85.762
895,83.447
896,81.3
897,85.731
898,89.002
899,92.31
900,96.45
901,101.266
902,105.404
903,104.28
904,88.631
905,83.208
906,75.216
907,66.222
908,62.655
909,58.86
910,61.693
911,66.874
912,71.683
913,76.202
914,80.618
915,84.504
916,89.28
917,93.901
918,97.74
919,102.773
920,106.273
921,112.908
922,119.268
923,125.915
924,132.06
925,131.693
926,132.392
927,133.386
928,133.399
929,133.522
930,130.913
931,131.04
932,132.899
933,134.909
934,135.273
935,137.462
936,137.826
937,133.197
938,135.06
939,139.28
940,143.679
941,141.226
942,146.958
943,153.411
944,158.283
945,158.52
946,154.784
947,153.366
948,152.845
949,143.554
950,134.203
951,132.122
952,101.64
953,106.969
954,110.712
955,112.76
956,115.34
957,89.971
958,79.68
959,85.74
960,94.697
961,92.48
962,93.386
963,104.189
964,110.687
965,118.179
966,124.68
967,117.727
968,105.599
969,105.501
970,58.95
971,48.87
972,53.74
973,55.92
974,64.144
975,71.143
976,77.678
977,83.923
978,89.697
979,91.408
980,88.56
981,56.493
982,55.992
983,63.597
984,67.123
985,68.44
986,68.345
987,67.68
988,71.462
989,75.175
990,78.539
991,81.641
992,84.383
993,86.664
994,88.98
995,85.664
996,81.076
997,68.765
998,66.583
999,65.465
1000,64.504
1001,63.36
1002,59.001
1003,59.136
1004,59.133
1005,59.147
1006,59.357
1007,55.61
1008,54.368
1009,55.98
1010,59.683
1011,63.143
1012,66.708
1013,69.72
1014,73.015
1015,76.14
1016,71.776
1017,67.655
1018,64.289
1019,64.967
1020,65.447
1021,65.848
1022,62.76
1023,54.32
1024,55.584
1025,60.765
1026,64.04
1027,66.143
1028,67.449
1029,68.788
1030,68.1
1031,64.641
1032,63.903
1033,58.438
1034,57.298
1035,56.563
1036,55.631
